start_date,state,pollster,methodology,pct,is_national,days_since_Biden_Withdrawal
2024-10-12,national,AtlasIntel,Online Ad,50.8,1,83
2024-10-12,Arizona,AtlasIntel,Online Ad,49.2,0,83
2024-10-12,Arizona,AtlasIntel,Online Ad,49.2,0,83
2024-10-12,Georgia,AtlasIntel,Online Ad,49.5,0,83
2024-10-12,Georgia,AtlasIntel,Online Ad,50.1,0,83
2024-10-12,Michigan,AtlasIntel,Online Ad,49.6,0,83
2024-10-12,Michigan,AtlasIntel,Online Ad,50.2,0,83
2024-10-12,Nevada,AtlasIntel,Online Ad,48.4,0,83
2024-10-12,Nevada,AtlasIntel,Online Ad,48.3,0,83
2024-10-12,North Carolina,AtlasIntel,Online Ad,48.8,0,83
2024-10-12,North Carolina,AtlasIntel,Online Ad,48.8,0,83
2024-10-12,Pennsylvania,AtlasIntel,Online Ad,49.8,0,83
2024-10-12,Pennsylvania,AtlasIntel,Online Ad,49.9,0,83
2024-10-12,Wisconsin,AtlasIntel,Online Ad,48.2,0,83
2024-10-12,Wisconsin,AtlasIntel,Online Ad,48.4,0,83
2024-10-14,national,Emerson,IVR/Online Panel/Text-to-Web,49.2,1,85
2024-10-11,Arizona,YouGov,Online Panel,51,0,82
2024-10-12,national,YouGov,Online Panel,45,1,83
2024-10-12,national,YouGov,Online Panel,45,1,83
2024-09-30,Arizona,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,50,0,71
2024-09-30,Arizona,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,49,0,71
2024-09-30,Georgia,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,44,0,71
2024-09-30,Georgia,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,47,0,71
2024-09-30,Michigan,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,47,0,71
2024-09-30,Michigan,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,47,0,71
2024-09-30,Nevada,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,44,0,71
2024-09-30,Nevada,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,48,0,71
2024-09-30,North Carolina,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,49,0,71
2024-09-30,North Carolina,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,50,0,71
2024-09-30,Pennsylvania,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,46,0,71
2024-09-30,Pennsylvania,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,47,0,71
2024-09-30,Wisconsin,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,46,0,71
2024-09-30,Wisconsin,Washington Post/George Mason University,Live Phone/Text-to-Web/Email/Mail-to-Web,47,0,71
2024-10-12,California,Emerson,IVR/Online Panel,36.6,0,83
2024-10-11,national,Beacon/Shaw,Live Phone/Text-to-Web,50,1,82
2024-10-11,national,Beacon/Shaw,Live Phone/Text-to-Web,50,1,82
2024-10-10,Georgia,Quinnipiac,Live Phone,52,0,81
2024-10-10,Georgia,Quinnipiac,Live Phone,52,0,81
2024-10-10,North Carolina,Quinnipiac,Live Phone,47,0,81
2024-10-10,North Carolina,Quinnipiac,Live Phone,47,0,81
2024-10-09,Washington,SurveyUSA,Online Panel,35,0,80
2024-10-11,national,Ipsos,Probability Panel,42,1,82
2024-10-11,national,Ipsos,Probability Panel,44,1,82
2024-10-11,national,Ipsos,Probability Panel,37,1,82
2024-10-08,national,YouGov,Online Panel,48,1,79
2024-10-08,national,Marist,Online Panel/Text-to-Web,47,1,79
2024-10-08,national,Marist,Online Panel/Text-to-Web,48,1,79
2024-10-07,Pennsylvania,Siena/NYT,Live Phone,47,0,78
2024-10-07,Pennsylvania,Siena/NYT,Live Phone,45,0,78
2024-10-07,Pennsylvania,Siena/NYT,Live Phone,47,0,78
2024-10-07,Pennsylvania,Siena/NYT,Live Phone,45,0,78
2024-10-07,Arizona,Siena/NYT,Live Phone,51,0,78
2024-10-07,Arizona,Siena/NYT,Live Phone,50,0,78
2024-10-07,Arizona,Siena/NYT,Live Phone,51,0,78
2024-10-07,Arizona,Siena/NYT,Live Phone,49,0,78
2024-10-02,New Hampshire,University of Massachusetts Lowell/YouGov,Online Panel,41,0,73
2024-10-02,Texas,YouGov,Online Panel,51,0,73
2024-10-01,national,Marquette Law School,Probability Panel,50,1,72
2024-10-01,national,Marquette Law School,Probability Panel,39,1,72
2024-10-01,national,Marquette Law School,Probability Panel,50,1,72
2024-10-01,national,Marquette Law School,Probability Panel,41,1,72
2024-10-02,Pennsylvania,University of Massachusetts Lowell/YouGov,Online Panel,45,0,73
2024-10-05,Arizona,Emerson,IVR/Online Panel/Text-to-Web,50.5,0,76
2024-10-05,Georgia,Emerson,IVR/Online Panel/Text-to-Web,49.7,0,76
2024-10-05,Michigan,Emerson,IVR/Online Panel/Text-to-Web,49.6,0,76
2024-10-05,Nevada,Emerson,IVR/Online Panel/Text-to-Web,48.1,0,76
2024-10-05,North Carolina,Emerson,IVR/Online Panel/Text-to-Web,49.9,0,76
2024-10-05,Pennsylvania,Emerson,IVR/Online Panel/Text-to-Web,49.7,0,76
2024-10-05,Wisconsin,Emerson,IVR/Online Panel/Text-to-Web,49.9,0,76
2024-10-05,Montana,Siena/NYT,Live Phone,57,0,76
2024-10-05,Montana,Siena/NYT,Live Phone,56,0,76
2024-10-05,Montana,Siena/NYT,Live Phone,57,0,76
2024-10-05,Montana,Siena/NYT,Live Phone,56,0,76
2024-10-04,national,Ipsos,Probability Panel,48,1,75
2024-10-04,national,Ipsos,Probability Panel,47,1,75
2024-10-04,national,Ipsos,Probability Panel,48,1,75
2024-10-04,national,Ipsos,Probability Panel,49,1,75
2024-10-04,national,Ipsos,Probability Panel,49,1,75
2024-10-04,national,Ipsos,Probability Panel,48,1,75
2024-10-06,national,YouGov,Online Panel,44,1,77
2024-10-06,national,YouGov,Online Panel,45,1,77
2024-10-04,national,Ipsos,Probability Panel,38,1,75
2024-10-04,national,Ipsos,Probability Panel,43,1,75
2024-10-04,national,Ipsos,Probability Panel,45,1,75
2024-10-04,national,Ipsos,Probability Panel,47,1,75
2024-10-04,national,Ipsos,Probability Panel,48,1,75
2024-10-04,national,Ipsos,Probability Panel,49,1,75
2024-10-03,Michigan,Quinnipiac,Live Phone,50,0,74
2024-10-03,Michigan,Quinnipiac,Live Phone,51,0,74
2024-10-03,Pennsylvania,Quinnipiac,Live Phone,46,0,74
2024-10-03,Pennsylvania,Quinnipiac,Live Phone,47,0,74
2024-10-03,Wisconsin,Quinnipiac,Live Phone,48,0,74
2024-10-03,Wisconsin,Quinnipiac,Live Phone,49,0,74
2024-10-03,Florida,Marist,Live Phone/Online Panel/Text-to-Web,51,0,74
2024-10-03,Florida,Marist,Live Phone/Online Panel/Text-to-Web,51,0,74
2024-10-03,Texas,Marist,Live Phone/Online Panel/Text-to-Web,52,0,74
2024-10-03,Texas,Marist,Live Phone/Online Panel/Text-to-Web,53,0,74
2024-10-03,Ohio,Marist,Live Phone/Online Panel/Text-to-Web,52,0,74
2024-10-03,Ohio,Marist,Live Phone/Online Panel/Text-to-Web,52,0,74
2024-10-03,Ohio,The Washington Post,Live Phone/Text-to-Web,51,0,74
2024-10-03,Ohio,The Washington Post,Live Phone/Text-to-Web,51,0,74
2024-09-29,national,Siena/NYT,Live Phone,46,1,70
2024-09-29,national,Siena/NYT,Live Phone,44,1,70
2024-09-29,Florida,Siena/NYT,Live Phone,55,0,70
2024-09-29,Florida,Siena/NYT,Live Phone,53,0,70
2024-09-29,Florida,Siena/NYT,Live Phone,54,0,70
2024-09-29,Florida,Siena/NYT,Live Phone,53,0,70
2024-10-01,Massachusetts,Suffolk,Live Phone,32.2,0,72
2024-10-02,national,YouGov,Online Panel,45,1,73
2024-10-02,national,YouGov,Online Panel,47,1,73
2024-10-02,national,YouGov,Online Panel,46,1,73
2024-10-02,national,YouGov,Online Panel,47,1,73
2024-09-29,Texas,Siena/NYT,Live Phone,50,0,70
2024-09-29,Texas,Siena/NYT,Live Phone,49,0,70
2024-09-29,Texas,Siena/NYT,Live Phone,50,0,70
2024-09-29,Texas,Siena/NYT,Live Phone,48,0,70
2024-09-28,Virginia,Christopher Newport U.,Live Phone,41,0,69
2024-09-24,Pennsylvania,YouGov/Center for Working Class Politics,Online Panel,44.7,0,65
2024-09-29,national,YouGov,Online Panel,45,1,70
2024-09-29,national,YouGov,Online Panel,46,1,70
2024-09-29,national,Emerson,IVR/Online Panel/Text-to-Web,48.6,1,70
2024-09-27,national,Marist,Live Phone/Online Panel/Text-to-Web,48,1,68
2024-09-27,national,Marist,Live Phone/Online Panel/Text-to-Web,47,1,68
2024-09-25,North Carolina,The Washington Post,Live Phone/Text-to-Web,50,0,66
2024-09-25,North Carolina,The Washington Post,Live Phone/Text-to-Web,50,0,66
2024-09-25,North Carolina,Quinnipiac,Live Phone,49,0,66
2024-09-25,North Carolina,Quinnipiac,Live Phone,49,0,66
2024-09-25,Georgia,Quinnipiac,Live Phone,50,0,66
2024-09-25,Georgia,Quinnipiac,Live Phone,50,0,66
2024-09-27,Arizona,Emerson,Online Panel/Text-to-Web,51.7,0,68
2024-09-27,North Carolina,Emerson,Online Panel/Text-to-Web,49.9,0,68
2024-09-27,Pennsylvania,Emerson,Online Panel/Text-to-Web,48.8,0,68
2024-09-23,national,McCourtney Institute/YouGov,Online Panel,45,1,64
2024-09-24,Nebraska,Siena/NYT,Live Phone,42,0,65
2024-09-24,Nebraska,Siena/NYT,Live Phone,41,0,65
2024-09-24,Nebraska,Siena/NYT,Live Phone,43,0,65
2024-09-24,Nebraska,Siena/NYT,Live Phone,42,0,65
2024-09-23,Minnesota,SurveyUSA,Online Panel,44,0,64
2024-09-21,Michigan,Siena/NYT,Live Phone,47,0,62
2024-09-21,Michigan,Siena/NYT,Live Phone,46,0,62
2024-09-21,Michigan,Siena/NYT,Live Phone,47,0,62
2024-09-21,Michigan,Siena/NYT,Live Phone,46,0,62
2024-09-21,Ohio,Siena/NYT,Live Phone,49,0,62
2024-09-21,Ohio,Siena/NYT,Live Phone,47,0,62
2024-09-21,Ohio,Siena/NYT,Live Phone,50,0,62
2024-09-21,Ohio,Siena/NYT,Live Phone,49,0,62
2024-09-21,Wisconsin,Siena/NYT,Live Phone,47,0,62
2024-09-21,Wisconsin,Siena/NYT,Live Phone,45,0,62
2024-09-21,Wisconsin,Siena/NYT,Live Phone,47,0,62
2024-09-21,Wisconsin,Siena/NYT,Live Phone,46,0,62
2024-09-18,Wisconsin,Marquette Law School,Probability Panel,48,0,59
2024-09-18,Wisconsin,Marquette Law School,Probability Panel,48,0,59
2024-09-18,Wisconsin,Marquette Law School,Probability Panel,44,0,59
2024-09-18,Wisconsin,Marquette Law School,Probability Panel,44,0,59
2024-09-23,national,Echelon Insights,Online Panel,45,1,64
2024-09-23,national,Echelon Insights,Online Panel,44,1,64
2024-09-23,New York,Emerson,Online Panel/Text-to-Web,41.6,0,64
2024-09-20,North Carolina,CNN/SSRS,Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone,48,0,61
2024-09-20,Nebraska,CNN/SSRS,Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone,42,0,61
2024-09-20,Arizona,AtlasIntel,Online Ad,49.7,0,61
2024-09-20,Arizona,AtlasIntel,Online Ad,49.8,0,61
2024-09-20,Michigan,AtlasIntel,Online Ad,50.4,0,61
2024-09-20,Michigan,AtlasIntel,Online Ad,50.6,0,61
2024-09-20,Nevada,AtlasIntel,Online Ad,47.7,0,61
2024-09-20,Nevada,AtlasIntel,Online Ad,47.7,0,61
2024-09-20,Pennsylvania,AtlasIntel,Online Ad,50.6,0,61
2024-09-20,Pennsylvania,AtlasIntel,Online Ad,51,0,61
2024-09-20,Wisconsin,AtlasIntel,Online Ad,49.6,0,61
2024-09-20,Wisconsin,AtlasIntel,Online Ad,49.7,0,61
2024-09-20,North Carolina,AtlasIntel,Online Ad,47.3,0,61
2024-09-20,North Carolina,AtlasIntel,Online Ad,48.1,0,61
2024-09-20,Georgia,AtlasIntel,Online Ad,49.3,0,61
2024-09-20,Georgia,AtlasIntel,Online Ad,49.6,0,61
2024-09-22,Texas,Emerson,Online Panel/Text-to-Web,52.3,0,63
2024-09-22,Virginia,Emerson,Online Panel/Text-to-Web,46.2,0,63
2024-09-21,national,YouGov,Online Panel,44,1,62
2024-09-21,national,YouGov,Online Panel,46,1,62
2024-09-20,Georgia,YouGov,Online Panel,51,0,61
2024-09-20,Arizona,Beacon/Shaw,Live Phone/Text-to-Web,49,0,61
2024-09-20,Arizona,Beacon/Shaw,Live Phone/Text-to-Web,50,0,61
2024-09-20,Arizona,Beacon/Shaw,Live Phone/Text-to-Web,50,0,61
2024-09-20,Arizona,Beacon/Shaw,Live Phone/Text-to-Web,51,0,61
2024-09-20,Georgia,Beacon/Shaw,Live Phone/Text-to-Web,47,0,61
2024-09-20,Georgia,Beacon/Shaw,Live Phone/Text-to-Web,48,0,61
2024-09-20,Georgia,Beacon/Shaw,Live Phone/Text-to-Web,48,0,61
2024-09-20,Georgia,Beacon/Shaw,Live Phone/Text-to-Web,48,0,61
2024-09-20,North Carolina,Beacon/Shaw,Live Phone/Text-to-Web,49,0,61
2024-09-20,North Carolina,Beacon/Shaw,Live Phone/Text-to-Web,47,0,61
2024-09-20,North Carolina,Beacon/Shaw,Live Phone/Text-to-Web,50,0,61
2024-09-20,North Carolina,Beacon/Shaw,Live Phone/Text-to-Web,48,0,61
2024-09-20,Pennsylvania,Beacon/Shaw,Live Phone/Text-to-Web,48,0,61
2024-09-20,Pennsylvania,Beacon/Shaw,Live Phone/Text-to-Web,46,0,61
2024-09-20,Pennsylvania,Beacon/Shaw,Live Phone/Text-to-Web,49,0,61
2024-09-20,Pennsylvania,Beacon/Shaw,Live Phone/Text-to-Web,48,0,61
2024-09-19,Arizona,Marist,Live Phone/Online Panel/Text-to-Web,50,0,60
2024-09-19,Arizona,Marist,Live Phone/Online Panel/Text-to-Web,50,0,60
2024-09-19,North Carolina,Marist,Live Phone/Online Panel/Text-to-Web,48,0,60
2024-09-19,North Carolina,Marist,Live Phone/Online Panel/Text-to-Web,49,0,60
2024-09-19,Georgia,Marist,Live Phone/Online Panel/Text-to-Web,48,0,60
2024-09-19,Georgia,Marist,Live Phone/Online Panel/Text-to-Web,50,0,60
2024-09-19,Arizona,Suffolk,Live Phone,48.4,0,60
2024-09-20,Nebraska,SurveyUSA,IVR/Online Panel/Text-to-Web,56,0,61
2024-09-19,Pennsylvania,Monmouth,unknown,45,0,60
2024-09-20,national,Ipsos,Probability Panel,40.48,1,61
2024-09-20,national,Ipsos,Probability Panel,44,1,61
2024-09-20,national,Ipsos,Probability Panel,38,1,61
2024-09-19,national,CNN/SSRS,Probability Panel,47,1,60
2024-09-19,national,CNN/SSRS,Probability Panel,47,1,60
2024-09-19,national,Quinnipiac,Live Phone,48,1,60
2024-09-19,national,Quinnipiac,Live Phone,48,1,60
2024-09-17,Arizona,Siena/NYT,Live Phone,49,0,58
2024-09-17,Arizona,Siena/NYT,Live Phone,50,0,58
2024-09-17,Arizona,Siena/NYT,Live Phone,47,0,58
2024-09-17,Arizona,Siena/NYT,Live Phone,48,0,58
2024-09-17,Georgia,Siena/NYT,Live Phone,48,0,58
2024-09-17,Georgia,Siena/NYT,Live Phone,49,0,58
2024-09-17,Georgia,Siena/NYT,Live Phone,46,0,58
2024-09-17,Georgia,Siena/NYT,Live Phone,47,0,58
2024-09-17,North Carolina,Siena/NYT,Live Phone,48,0,58
2024-09-17,North Carolina,Siena/NYT,Live Phone,49,0,58
2024-09-17,North Carolina,Siena/NYT,Live Phone,46,0,58
2024-09-17,North Carolina,Siena/NYT,Live Phone,47,0,58
2024-09-18,national,YouGov,Online Panel,48,1,59
2024-09-16,Pennsylvania,Muhlenberg,Live Phone,48,0,57
2024-09-11,Michigan,University of Massachusetts Lowell/YouGov,Online Panel,43,0,52
2024-09-11,Pennsylvania,University of Massachusetts Lowell/YouGov,Online Panel,46,0,52
2024-09-16,Michigan,Suffolk,Live Phone,45.4,0,57
2024-09-15,Arizona,Emerson,IVR/Online Panel/Text-to-Web,49.8,0,56
2024-09-15,Georgia,Emerson,IVR/Online Panel/Text-to-Web,50.3,0,56
2024-09-15,Michigan,Emerson,IVR/Online Panel/Text-to-Web,49.1,0,56
2024-09-15,Nevada,Emerson,IVR/Online Panel/Text-to-Web,49,0,56
2024-09-15,Pennsylvania,Emerson,IVR/Online Panel/Text-to-Web,49.3,0,56
2024-09-15,North Carolina,Emerson,IVR/Online Panel/Text-to-Web,49.3,0,56
2024-09-15,Wisconsin,Emerson,IVR/Online Panel/Text-to-Web,50.3,0,56
2024-09-12,Pennsylvania,MassINC Polling Group,Live Phone/Text-to-Web,46,0,53
2024-09-12,Pennsylvania,MassINC Polling Group,Live Phone/Text-to-Web,47,0,53
2024-09-12,Massachusetts,MassINC Polling Group,Live Phone/Text-to-Web,32,0,53
2024-09-12,Massachusetts,MassINC Polling Group,Live Phone/Text-to-Web,35,0,53
2024-09-12,New Mexico,SurveyUSA,Online Panel,42,0,53
2024-09-12,Wisconsin,MassINC Polling Group,Live Phone/Text-to-Web,45,0,53
2024-09-12,Wisconsin,MassINC Polling Group,Live Phone/Text-to-Web,46,0,53
2024-09-12,Connecticut,MassINC Polling Group,Live Phone/Text-to-Web,37,0,53
2024-09-12,Rhode Island,MassINC Polling Group,Live Phone/Text-to-Web,40,0,53
2024-09-12,Rhode Island,MassINC Polling Group,Live Phone/Text-to-Web,43,0,53
2024-09-15,national,YouGov,Online Panel,45,1,56
2024-09-12,Pennsylvania,Marist,Live Phone/Online Panel/Text-to-Web,48,0,53
2024-09-12,Pennsylvania,Marist,Live Phone/Online Panel/Text-to-Web,49,0,53
2024-09-12,Wisconsin,Marist,Live Phone/Online Panel/Text-to-Web,47,0,53
2024-09-12,Wisconsin,Marist,Live Phone/Online Panel/Text-to-Web,49,0,53
2024-09-12,Michigan,Marist,Live Phone/Online Panel/Text-to-Web,47,0,53
2024-09-12,Michigan,Marist,Live Phone/Online Panel/Text-to-Web,47,0,53
2024-09-13,national,Beacon/Shaw,Live Phone/Text-to-Web,48,1,54
2024-09-13,national,Beacon/Shaw,Live Phone/Text-to-Web,48,1,54
2024-09-12,Pennsylvania,Quinnipiac,Live Phone,45,0,53
2024-09-12,Pennsylvania,Quinnipiac,Live Phone,46,0,53
2024-09-12,Michigan,Quinnipiac,Live Phone,45,0,53
2024-09-12,Michigan,Quinnipiac,Live Phone,46,0,53
2024-09-12,Wisconsin,Quinnipiac,Live Phone,47,0,53
2024-09-12,Wisconsin,Quinnipiac,Live Phone,48,0,53
2024-09-12,Pennsylvania,The Washington Post,Live Phone/Text-to-Web,47,0,53
2024-09-12,Pennsylvania,The Washington Post,Live Phone/Text-to-Web,48,0,53
2024-09-11,national,Siena/NYT,Live Phone,47,1,52
2024-09-11,national,Siena/NYT,Live Phone,47,1,52
2024-09-11,national,Siena/NYT,Live Phone,46,1,52
2024-09-11,national,Siena/NYT,Live Phone,46,1,52
2024-09-11,New York,Siena,Live Phone/Text-to-Web,40,0,52
2024-09-11,New York,Siena,Live Phone/Text-to-Web,42,0,52
2024-09-11,Pennsylvania,Siena/NYT,Live Phone,46,0,52
2024-09-11,Pennsylvania,Siena/NYT,Live Phone,46,0,52
2024-09-11,Pennsylvania,Siena/NYT,Live Phone,45,0,52
2024-09-11,Pennsylvania,Siena/NYT,Live Phone,45,0,52
2024-09-11,national,Monmouth,Live Phone/Text-to-Web,44,1,52
2024-09-11,Pennsylvania,Suffolk,Live Phone,45.6,0,52
2024-09-12,Maryland,Emerson,Online Panel/Text-to-Web,33.3,0,53
2024-09-12,Missouri,Emerson,Online Panel/Text-to-Web,55.2,0,53
2024-09-12,Indiana,Emerson,Online Panel/Text-to-Web,57.9,0,53
2024-09-11,national,YouGov,Online Panel,45,1,52
2024-09-11,national,YouGov,Online Panel,46,1,52
2024-09-11,national,YouGov,Online Panel,44,1,52
2024-09-11,national,YouGov,Online Panel,45,1,52
2024-09-11,national,Ipsos,Probability Panel,46,1,52
2024-09-11,national,Ipsos,Probability Panel,47,1,52
2024-09-11,national,Ipsos,Probability Panel,46,1,52
2024-09-11,national,Ipsos,Probability Panel,45,1,52
2024-09-11,national,Ipsos,Probability Panel,46,1,52
2024-09-11,national,Ipsos,Probability Panel,46,1,52
2024-09-11,national,Ipsos,Probability Panel,42,1,52
2024-09-11,national,Ipsos,Probability Panel,39,1,52
2024-09-11,national,AtlasIntel,unknown,50.9,1,52
2024-09-11,national,AtlasIntel,unknown,50.9,1,52
2024-09-08,Iowa,Selzer,Live Phone,47,0,49
2024-09-08,national,YouGov,Online Panel,45,1,49
2024-09-07,Arizona,Data Orbital,Live Phone/Text-to-Web,46.2,0,48
2024-09-04,North Carolina,Quinnipiac,Live Phone,46,0,45
2024-09-04,North Carolina,Quinnipiac,Live Phone,47,0,45
2024-09-04,Georgia,Quinnipiac,Live Phone,49,0,45
2024-09-04,Georgia,Quinnipiac,Live Phone,49,0,45
2024-09-04,Virginia,Washington Post/George Mason University,Live Phone/Text-to-Web,42,0,45
2024-09-04,Virginia,Washington Post/George Mason University,Live Phone/Text-to-Web,43,0,45
2024-09-04,Virginia,Washington Post/George Mason University,Live Phone/Text-to-Web,42,0,45
2024-09-04,Virginia,Washington Post/George Mason University,Live Phone/Text-to-Web,43,0,45
2024-09-04,North Carolina,SurveyUSA,Online Panel,46,0,45
2024-09-03,Michigan,YouGov,Online Panel,49,0,44
2024-09-03,Pennsylvania,YouGov,Online Panel,50,0,44
2024-09-03,Wisconsin,YouGov,Online Panel,49,0,44
2024-09-03,national,Siena/NYT,Live Phone,48,1,44
2024-09-03,national,Siena/NYT,Live Phone,47,1,44
2024-09-03,national,Siena/NYT,Live Phone,48,1,44
2024-09-03,national,Siena/NYT,Live Phone,46,1,44
2024-09-03,California,Emerson,Online Panel/Text-to-Web,38,0,44
2024-09-03,Florida,Emerson,Online Panel/Text-to-Web,51.1,0,44
2024-09-03,Texas,Emerson,Online Panel/Text-to-Web,50.9,0,44
2024-09-03,Ohio,Emerson,Online Panel/Text-to-Web,54.3,0,44
2024-09-03,national,Marist,Live Phone/Online Panel/Text,48,1,44
2024-08-28,Wisconsin,Marquette Law School,Live Phone/Email,48,0,38
2024-08-28,Wisconsin,Marquette Law School,Live Phone/Email,48,0,38
2024-08-28,Wisconsin,Marquette Law School,Live Phone/Email,43,0,38
2024-08-28,Wisconsin,Marquette Law School,Live Phone/Email,43,0,38
2024-09-03,national,Emerson,IVR/Online Panel/Text-to-Web,47.6,1,44
2024-09-01,national,YouGov,Online Panel,45,1,42
2024-08-23,Texas,YouGov,Online Panel,49,0,33
2024-08-23,Texas,YouGov,Online Panel,49,0,33
2024-08-27,Minnesota,SurveyUSA,Online Panel,43,0,37
2024-08-23,Arizona,CNN/SSRS,Probability Panel,49,0,33
2024-08-23,Georgia,CNN/SSRS,Probability Panel,47,0,33
2024-08-23,Michigan,CNN/SSRS,Probability Panel,43,0,33
2024-08-23,Nevada,CNN/SSRS,Probability Panel,47,0,33
2024-08-23,Pennsylvania,CNN/SSRS,Probability Panel,47,0,33
2024-08-23,Wisconsin,CNN/SSRS,Probability Panel,44,0,33
